VTX, IDX, _sig60._child0.x, _sig60._child0.y, _sig60._child0.z, _sig60._child0.w, _output0.x, _output0.y, _output0.z, _output0.w, _output1.x, _output1.y, _output1.z, _output1.w, _output3.x, _output3.y
102, 5587, -2.41606, -78.89612, -179.06511,  199.06511, -2.41606,  78.89612,  10.00,  199.06511, -2.52157,  78.61204,  10.00,  199.03876,  0.48804,  0.9292
103, 5588, -2.23671, -80.62209, -178.91669,  198.91669, -2.23671,  80.62209,  10.00,  198.91669, -2.34227,  80.33795,  10.00,  198.89008,  0.48804,  0.95361
104, 5586, -2.88269, -80.77133, -178.97299,  198.97299, -2.88269,  80.77133,  10.00,  198.97299, -2.98819,  80.48728,  10.00,  198.94653,  0.47412,  0.95361
105, 5589, -2.01042, -78.84626, -179.06201,  199.06201, -2.01042,  78.84626,  10.00,  199.06201, -2.11594,  78.56213,  10.00,  199.03554,  0.49902,  0.9292
106, 5588, -2.23671, -80.62209, -178.91669,  198.91669, -2.23671,  80.62209,  10.00,  198.91669, -2.34227,  80.33795,  10.00,  198.89008,  0.48804,  0.95361
107, 5587, -2.41606, -78.89612, -179.06511,  199.06511, -2.41606,  78.89612,  10.00,  199.06511, -2.52157,  78.61204,  10.00,  199.03876,  0.48804,  0.9292
108, 5589, -2.01042, -78.84626, -179.06201,  199.06201, -2.01042,  78.84626,  10.00,  199.06201, -2.11594,  78.56213,  10.00,  199.03554,  0.49902,  0.9292
109, 5590, -1.95075, -80.58703, -178.91454,  198.91454, -1.95075,  80.58703,  10.00,  198.91454, -2.05632,  80.30281,  10.00,  198.88785,  0.49902,  0.95361
110, 5588, -2.23671, -80.62209, -178.91669,  198.91669, -2.23671,  80.62209,  10.00,  198.91669, -2.34227,  80.33795,  10.00,  198.89008,  0.48804,  0.95361
111, 5589, -2.01042, -78.84626, -179.06201,  199.06201, -2.01042,  78.84626,  10.00,  199.06201, -2.11594,  78.56213,  10.00,  199.03554,  0.49902,  0.9292
112, 5591, -1.66821, -80.58586, -178.93723,  198.93723, -1.66821,  80.58586,  10.00,  198.93723, -1.77376,  80.30164,  10.00,  198.91045,  0.50977,  0.95361
113, 5590, -1.95075, -80.58703, -178.91454,  198.91454, -1.95075,  80.58703,  10.00,  198.91454, -2.05632,  80.30281,  10.00,  198.88785,  0.49902,  0.95361
114, 5589, -2.01042, -78.84626, -179.06201,  199.06201, -2.01042,  78.84626,  10.00,  199.06201, -2.11594,  78.56213,  10.00,  199.03554,  0.49902,  0.9292
