VTX, IDX, _sig60._child0.x, _sig60._child0.y, _sig60._child0.z, _sig60._child0.w, _output0.x, _output0.y, _output0.z, _output0.w, _output1.x, _output1.y, _output1.z, _output1.w
67, 2415, -29.71448, -54.58398, -195.65363,  215.65363, -29.71448,  54.58398,  10.00,  215.65363, -29.8487,  54.25613,  10.00,  215.55388
68, 2416, -30.53642, -54.30891, -194.45662,  214.45662, -30.53642,  54.30891,  10.00,  214.45662, -30.66922,  54.00738,  10.00,  214.35674
69, 2417, -31.19476, -56.02447, -193.45879,  213.45879, -31.19476,  56.02447,  10.00,  213.45879, -31.32507,  55.74571,  10.00,  213.36194
70, 2414, -30.84178, -55.18391, -194.49794,  214.49794, -30.84178,  55.18391,  10.00,  214.49794, -30.97398,  54.88231,  10.00,  214.39909
71, 2416, -30.53642, -54.30891, -194.45662,  214.45662, -30.53642,  54.30891,  10.00,  214.45662, -30.66922,  54.00738,  10.00,  214.35674
72, 2417, -31.19476, -56.02447, -193.45879,  213.45879, -31.19476,  56.02447,  10.00,  213.45879, -31.32507,  55.74571,  10.00,  213.36194
73, 2416, -30.53642, -54.30891, -194.45662,  214.45662, -30.53642,  54.30891,  10.00,  214.45662, -30.66922,  54.00738,  10.00,  214.35674
74, 2418, -30.76171, -54.8974, -193.37982,  213.37982, -30.76171,  54.8974,  10.00,  213.37982, -30.89274,  54.61923,  10.00,  213.28162
75, 2419, -30.6975, -56.45473, -192.24164,  212.24164, -30.6975,  56.45473,  10.00,  212.24164, -30.82584,  56.20137,  10.00,  212.14754
76, 2417, -31.19476, -56.02447, -193.45879,  213.45879, -31.19476,  56.02447,  10.00,  213.45879, -31.32507,  55.74571,  10.00,  213.36194
77, 2418, -30.76171, -54.8974, -193.37982,  213.37982, -30.76171,  54.8974,  10.00,  213.37982, -30.89274,  54.61923,  10.00,  213.28162
78, 2419, -30.6975, -56.45473, -192.24164,  212.24164, -30.6975,  56.45473,  10.00,  212.24164, -30.82584,  56.20137,  10.00,  212.14754
79, 2420, -31.15905, -57.49007, -192.38431,  212.38431, -31.15905,  57.49007,  10.00,  212.38431, -31.28683,  57.23488,  10.00,  212.29147
80, 2417, -31.19476, -56.02447, -193.45879,  213.45879, -31.19476,  56.02447,  10.00,  213.45879, -31.32507,  55.74571,  10.00,  213.36194
81, 2421, -30.57613, -58.95392, -191.16707,  211.16707, -30.57613,  58.95392,  10.00,  211.16707, -30.70077,  58.72319,  10.00,  211.08
82, 2420, -31.15905, -57.49007, -192.38431,  212.38431, -31.15905,  57.49007,  10.00,  212.38431, -31.28683,  57.23488,  10.00,  212.29147
83, 2419, -30.6975, -56.45473, -192.24164,  212.24164, -30.6975,  56.45473,  10.00,  212.24164, -30.82584,  56.20137,  10.00,  212.14754
84, 2421, -30.57613, -58.95392, -191.16707,  211.16707, -30.57613,  58.95392,  10.00,  211.16707, -30.70077,  58.72319,  10.00,  211.08
85, 2422, -31.01304, -59.76043, -191.37773,  211.37773, -31.01304,  59.76043,  10.00,  211.37773, -31.13737,  59.52665,  10.00,  211.29149
86, 2420, -31.15905, -57.49007, -192.38431,  212.38431, -31.15905,  57.49007,  10.00,  212.38431, -31.28683,  57.23488,  10.00,  212.29147
87, 2423, -30.75107, -63.12313, -190.41037,  210.41037, -30.75107,  63.12313,  10.00,  210.41037, -30.87137,  62.90596,  10.00,  210.33279
